Section,Table,Error,Description
6.2.4.7 PubSubGroup Structure, Table 21 – PubSubGroupDataType Definition,InvalidIsAbstract,Expected IsAbstract=True. Got IsAbstract=False
A.1.1 DataTypeSchemaHeader, Table A.2 – DataTypeSchemaHeader Definition,InvalidIsAbstract,Expected IsAbstract=True. Got IsAbstract=False
A.1.2 DataTypeDescription, Table A.4 – DataTypeDescription Definition,InvalidIsAbstract,Expected IsAbstract=True. Got IsAbstract=False
6.2.2.4 PublishedDataSetDataType, Table 9 – PublishedDataSetDataType Structure,InvalidDataType,Expected DataType DataSetMetaData. Got DataSetMetaDataType
6.2.5.6.1 WriterGroupDataType, Table 22 – WriterGroupDataType Structure,InvalidDataType,Expected DataType String. Got LocaleId
6.3.2.3.3 JsonDataSetReaderMessageDataType Structure, Table 65 – JsonDataSetReaderMessageDataType Structure,InvalidStructureField,Expected NetworkMessageContentMask. Got DataSetMessageContentMask.
6.3.2.3.3 JsonDataSetReaderMessageDataType Structure, Table 65 – JsonDataSetReaderMessageDataType Structure,MissingDataTypeDefinition,DataSetMessageContentMask datatype definition not found in NodeSet.
6.2.9.2.4 OverrideValueHandling, Table 45 – OverrideValueHandling Values,InvalidEnumerationField,LastUseableValue found. LastUsableValue expected.
6.2.3.2 DataSetFieldContentMask, Table 14 – DataSetFieldContentMask Values,InvalidOptionSetField,RawDataEncoding found. RawData expected.
6.3.1.1.4 NetworkMessageContentMask, Table 52 – UadpNetworkMessageContentMask Values,InvalidOptionSetField,Picoseconds found. PicoSeconds expected.
6.3.2.2.1 DataSetMessageContentMask, Table 62 – JsonDataSetMessageContentMask Values,InvalidOptionSetField,DataSetWriterId bit value mismatch. 0 found; 1 expected.
6.3.2.2.1 DataSetMessageContentMask, Table 62 – JsonDataSetMessageContentMask Values,InvalidOptionSetField,MetaDataVersion bit value mismatch. 1 found; 2 expected.
6.3.2.2.1 DataSetMessageContentMask, Table 62 – JsonDataSetMessageContentMask Values,InvalidOptionSetField,SequenceNumber bit value mismatch. 2 found; 3 expected.
6.3.2.2.1 DataSetMessageContentMask, Table 62 – JsonDataSetMessageContentMask Values,InvalidOptionSetField,Timestamp bit value mismatch. 3 found; 4 expected.
6.3.2.2.1 DataSetMessageContentMask, Table 62 – JsonDataSetMessageContentMask Values,InvalidOptionSetField,Status bit value mismatch. 4 found; 5 expected.
